run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48
0,0,0.00762,0,0,0.08467,0,0.13848,0,0,0,0.05466,0.05466,0.06343,0.02438,0.00879,0.01631,0.02573,0.05067,0,0,0.03974,0.02955,0.03492,0.13245,0.15845,0.16917,0.17019,0,0.01008,0,0.08467,0,0,0,0.02627,0,0.03974,0.03974,0.00775,0.00775,0.03256,0.042,0.03786,0.1281,0.16224,0.16047,0.17002
0.04143,0.02728,0.05053,0.16774,0.5305,0.54186,0.08539,0.13105,0.03307,0.11441,0.11441,0.30915,0.27897,0.3036,0.04725,0.00223,0.04696,0.31947,0.33255,0.00435,0.00977,0.0761,0.33756,0.48427,0.08423,0.07542,0.07736,0.10664,0.05006,0.10139,0.5305,0.54186,0.0919,0.09038,0.11491,0.05862,0.10297,0.0761,0.0761,0.18081,0.18081,0.1213,0.42497,0.5766,0.2064,0.17599,0.0784,0.04549
0.13735,0.07424,0.13735,0.09157,0.11062,0.11062,0,0,0.06868,0.06254,0,0.02026,0.02026,0.02059,0,0,0,0.04198,0.01601,0,0,0.09157,0.17515,0.20098,0,0.01864,0.02071,0.02071,0,0.0827,0.11062,0.11062,0.06356,0.06467,0.06588,0.00417,0,0.09157,0.09157,0.10208,0.09907,0.11263,0,0.20098,0,0.08939,0.01808,0.0165
0.00219,0,0.00219,0.14433,0.49436,0.58527,0.04188,0.08345,0.08784,0.04833,0.047,0.85796,0.85796,0.85796,0.00526,0.00526,0.00491,0.3982,1,1,1,0.70977,0.83599,1,0.83421,0.40887,0.41909,0.54075,0.00232,0.08622,0.49436,0.58527,0.0851,0.08549,0.08581,0.03944,0.0675,0.70977,0.70977,0.03551,0.03636,0.08901,1,1,0.87151,0.4956,0.49955,0.41009
0.00472,0,0.00482,0,0.05297,0.05762,0.14005,0.03722,0.03801,0.05624,0.05336,0.11808,0.11808,0.17259,0.03645,0.03732,0.03732,0.15467,0.08708,0.05862,0.05353,0.20371,0.01938,0.02604,0.10882,0.10529,0.06756,0.10163,0.05079,0,0.05297,0.05762,0.05742,0.05846,0.05828,0.03867,0.10742,0.20371,0.20371,0.0452,0.00757,0.04264,0.05201,0.02992,0.09125,0.06387,0.07101,0.06519
0.00729,0.0115,0.00729,0.00707,0.6577,0.56854,0.01748,0.02236,0.16408,0.1596,0.1665,0.01995,0.01995,0.01964,0.02296,0.02797,0.03021,0.05001,0.48722,0.10725,0.3725,0.59713,0.67955,0.86667,0.32637,0.22798,0.27959,0.31233,0.0175,0.01311,0.6577,0.56854,0.02522,0.03199,0.03204,0.02259,0.00707,0.59713,0.59713,0.00838,0.01414,0.01191,0.66683,0.87399,0.82325,0.27667,0.29465,0.10826
0.00722,0.01445,0.00763,0.0226,0.12228,0.20289,0,0.0162,0.00886,0.09222,0.09071,0.00572,0.00572,0.016,0,0,0,0.06048,0.00639,0.21532,0.10118,0.0285,0.13341,0.13318,0.13592,0.11187,0.0229,0.0229,0.08646,0.01749,0.12228,0.20289,0.10149,0.01701,0.11289,0,0.01205,0.0285,0.0285,0.01872,0.01872,0.01445,0.1342,0.13318,0.12707,0.0229,0.02819,0.0229
0.32227,0.26449,0.32227,0.01099,0,0,0.061,0.02595,0,0.00942,0.00871,0.00972,0.00942,0.01162,0.05314,0.06339,0.06198,0,0,0.01968,0.00972,0.01659,0.02356,0.01241,0.02643,0.01049,0.01049,0.00871,0.06725,0.01241,0,0,0.03485,0.03485,0.03485,0.05756,0.05331,0.01659,0.01659,0,0,0.0232,0.00793,0.00853,0.01762,0.01855,0.01007,0.00942
0.22575,0.11776,0.34526,0,0,0,0.00548,0.00469,0.71761,0.01188,0.00487,0,0,0,0,0,0,0.05933,0,0.00611,0.00566,0.28155,0,0,0.01484,0.05495,0.09046,0.0897,0,0,0,0,0.23543,0.22735,0.23676,0,0.03551,0.31933,0.27716,0.00469,0.00478,0.00469,0,0,0.04286,0.09524,0.05495,0.00947
0.1886,0.1886,0.1886,0.01399,0.00401,0.06582,0.13089,0.08911,0.28209,0.22334,0.18741,0,0,0,0.11657,0.06388,0.1264,0.00571,0.0062,0.0954,0.09087,0.01431,0.31652,0.3216,0.06759,0.06045,0.06686,0.07501,0.14563,0.02253,0.00401,0.06582,0.22287,0.23632,0.1803,0.12733,0.12826,0.01431,0.08285,0.0062,0.0062,0.0062,0.29068,0.32069,0.00874,0.07472,0.06365,0.07501
0.06513,0.04696,0.06513,0,0.27695,0.30785,0,0,0.04716,0.24917,0.24917,0.0553,0.0553,0.06331,0.1516,0.23326,0.1516,0.17396,0.17837,0,0,0.34754,0.18634,0.14675,0.11956,0.18461,0.16095,0.10975,0,0,0.27695,0.30785,0.16135,0.16784,0.15957,0.18895,0,0.34754,0.34754,0.05744,0.05484,0.05805,0.11238,0.10798,0.13324,0.16453,0.1395,0.18499
0.07358,0.06938,0.07376,0.00242,0.19223,0.05991,0.18032,0.11852,0.49593,0.12117,0.11616,0.01715,0.01738,0.09044,0.05026,0.04575,0.05204,0.10892,0.4746,0.11571,0.15925,0.51011,0.24042,0.23582,0.22672,0.19978,0.16744,0.20088,0.29006,0.01618,0.19223,0.05991,0.15358,0.16193,0.22624,0.04758,0.24768,0.51011,0.51011,0.18294,0.04618,0.0574,0.22981,0.26381,0.09081,0.15908,0.16803,0.20448
0.02618,0.01499,0.02724,0.45305,0.13347,0.55457,0.19897,0.36219,0.21219,0.2045,0.18231,0.15406,0.15346,0.14299,0.23804,0.27071,0.23999,0.81993,0.47027,0.40505,0.42243,0.13468,0.2274,0.22681,0.32585,0.06943,0.06698,0.08489,0.20264,0.35184,0.13347,0.55457,0.2184,0.21136,0.23588,0.19546,0.27472,0.14005,0.11663,0.20859,0.20859,0.15882,0.17313,0.21861,0.36141,0.08655,0.07084,0.07028
0,0,0,0.09952,0.16381,0.16381,0,0,0,0.18375,0.16494,0.19093,0.19093,0.19093,0.19093,0.19093,0.19093,0.01711,0.13314,0.19093,0.19093,0.10918,0.19093,0.19093,0.16381,0.02712,0.02712,0.02712,0,0,0.16381,0.16381,0.00694,0.00678,0.00663,0.19093,0,0.10918,0.10918,0.03252,0.03252,0.05779,0.16688,0.19093,0.19093,0.02712,0.02712,0.03339
0,0.06693,0,0,0,0.03234,0.03286,0.24672,0,0,0,0,0,0,0,0,0,0.18166,0.06785,0.23166,0.21306,0.12072,0.0837,0.0734,0,0.15079,0.17247,0.15079,0,0.32485,0,0.03234,0,0,0,0,0,0.12072,0.12072,0,0,0,0,0.03838,0,0.18918,0.12437,0.18485
0.01058,0.00802,0.01058,0.10093,0.74016,0.7538,0.0487,0.09369,0.04518,0.04882,0.02188,0.06472,0.06472,0.06465,0.07056,0.07056,0.07056,0.29506,0.23583,0.07483,0.11013,0.03921,0.10804,0.16683,0.12073,0.07754,0.08714,0.07924,0.04697,0.21059,0.74016,0.7538,0.04661,0.05056,0.04481,0.07056,0.05714,0.03921,0.03921,0.0688,0.07423,0.07918,0.06046,0.17951,0.12501,0.08629,0.03066,0.08175
0.2545,0.2587,0.25673,0.15728,0.01717,0.01792,0.16115,0.11436,0.18073,0.22995,0.22995,0.11195,0.11494,0.12245,0.08087,0.33373,0.29728,0.17803,0.60582,0.04633,0.04633,0.13407,0.13721,0.19294,0.10636,0.04962,0.05324,0.04999,0.38193,0.37055,0.01717,0.01792,0.1362,0.13209,0.16789,0.45431,0.2945,0.13839,0.13453,0.31146,0.242,0.34823,0.05644,0.2595,0.1298,0.03836,0.05751,0.04723
0.00459,0.00949,0.00459,0.22536,0.14005,0.18344,0.02294,0.11825,0.02975,0.04085,0.03994,0.24852,0.2486,0.08517,0.06305,0.03232,0.06312,0.09082,0.10783,0.02268,0.02876,0.15164,0.1204,0.15871,0.3246,0.22855,0.22953,0.21927,0.01686,0.16958,0.14005,0.18344,0.01472,0.01175,0.01088,0.04458,0.02218,0.15164,0.15761,0.02025,0.01483,0.07433,0.13014,0.16366,0.32566,0.24392,0.22302,0.22499
0.03869,0.04114,0.03869,0.15757,0.27827,0.27712,0.022,0.00834,0.11863,0.06143,0.05089,0.0168,0.0168,0.02141,0.16255,0.19642,0.17284,0.02839,0.18495,0,0,0.16394,0.0384,0.06231,0.04504,0.09818,0.09818,0.09818,0.06823,0.08728,0.27827,0.27712,0.01615,0.01224,0.01868,0.19033,0.02815,0.16394,0.16992,0.01219,0.01243,0.01389,0.04253,0.14778,0.17677,0.09818,0.09818,0.09818
0.00797,0,0.0083,0.24507,0.21007,0.21007,0.18775,0.20421,0.02298,0.04186,0.04186,0.26408,0.26408,0.29321,0.35878,0.35928,0.26408,0.27492,0.37344,0.04558,0.21052,0.3348,0.24327,0.33904,0.38771,0.25032,0.15986,0.15803,0.30546,0.2819,0.21007,0.21007,0.03549,0.03549,0.03365,0.35893,0.22034,0.3348,0.3348,0.08419,0.07866,0.08376,0.15832,0.35057,0.45325,0.22824,0.15731,0.15731
