run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34
0.31688,0,0,0,0,0,0.25081,0.25386,0,0.02806,0.07438,0.07503,0,0.16751,0.25006,0.04637,0,0.51545,0,0.32354,0.02328,0.02375,0.18541,0.2831,0.11561,0.23985,0.11454,0.26721,0.04538,0,0.04538,0.09707,0,0.09707
0.71594,0.5961,0.41649,0.41649,0.44463,0,0.68586,0.77877,0.54475,0.5961,0.43528,0.38873,0.57966,0.59261,0.46792,0.63515,0.68033,0,0.42401,0.58057,0.27534,0.31005,0.50387,0.27818,0.52511,0.62536,0.68859,0.59722,0.53855,0.55153,0.53855,0.51652,0.53511,0.69173
0.23211,0.30385,0,0,0,0,0.30385,0.30385,0.04362,0.30385,0.25087,0.19017,0.13509,0.1268,0.05169,0.15817,0.20375,0.09336,0.25348,0.29083,0.30385,0.30385,0.13086,0.15193,0.10823,0,0,0,0,0,0,0.22578,0.27517,0.35603
0.56678,0.50523,0.44548,0.4874,0.39189,0,0.54055,0.54345,0.54055,0.50589,0.60096,0.59144,0.40416,0.40416,0.40341,0.50182,0.49112,0.50973,0.57134,0.51276,0.44722,0.4595,0.79266,0.78212,0.47518,0.53822,0.54471,0.53822,0.56201,0.38899,0.56201,0.53797,0.46808,0.35057
0.17205,0,0.23867,0.33081,0.19963,0,0.13932,0.13932,0,0,0,0,0.14819,0.08252,0.14819,0.44008,0.45264,0.30748,0,0.34409,0,0,0.44484,0.44484,0,0.20229,0.1295,0.21063,0.09598,0.14819,0,0,0,0
0.15771,0.0928,0.31864,0.31864,0.18084,0,0.15467,0.15467,0.15467,0.0928,0.36884,0.41752,0.11737,0.11852,0.09601,0.27604,0.29645,0.25274,0.21648,0.55575,0,0,0.19967,0.06513,0.1418,0.19827,0.18008,0.19827,0.03034,0.22701,0.03034,0.23062,0.21225,0.21566
0.87121,0.19216,0.73552,0.73552,0.32108,0,0.23253,0.1844,0.0898,0.16331,0.35975,0.38442,0,0.40835,0.40848,0.36553,0.39737,0.61093,0.39332,0.41264,0.14915,0.14606,0.28089,0.10065,0.09149,0.42736,0.41231,0.35381,0.20677,0.27184,0.20677,0.13392,0.1517,0.12983
0.21731,0.05227,0.60165,0.60165,0.40461,0,0.15455,0.10213,0.15455,0.05926,0.0866,0.07053,0.3253,0.24469,0.18385,0.78623,0.56491,0.50387,0.14286,0.14533,0.02543,0.0781,0.50401,0.50667,0.15695,0.41202,0.07113,0.46914,0.66665,0.88487,0.66665,0.2255,0.20839,0.03054
0.02817,0.12568,0,0,0,0,0.21887,0.19646,0.09349,0.12559,0,0.02501,0.30311,0.2014,0.31145,0,0,0,0.37011,0.43176,0.19424,0.17485,0.18703,0.06157,0.06008,0.0733,0.15454,0.03912,0,0,0,0.05236,0.10833,0.1366
0,0.03062,0.17992,0.17992,0.26113,0,0.08583,0.05347,0.04853,0.03755,0,0,0.07809,0.09477,0.20808,0.21237,0.32307,0.04853,0.09707,0.26796,0,0,0.05437,0.0418,0.02328,0.0577,0.0539,0.07099,0.15043,0.29268,0.15043,0.12224,0.13758,0.14233
0.63736,0.12998,0.30024,0.30024,0.2592,0,0.21059,0.24259,0.36592,0.12777,0.18785,0.37708,0.03575,0.07453,0.08884,0.39473,0.37775,0.39461,0.44975,0.16505,0.05517,0.04329,0.30425,0.30425,0.09637,0.16917,0.15386,0.24106,0.24014,0.06533,0.06898,0.27122,0.45533,0.07573
0.02146,0.30529,0,0,0,0,0,0,0.02219,0.33043,0.09427,0.09427,0.09893,0.17844,0.09427,0,0,0,0,0.42422,0.14488,0.08169,0.10484,0.10484,0.15335,0.14541,0,0.06372,0.06194,0,0.06194,0.26774,0.2639,0
0.23873,0,0.11935,0.11935,0.08838,0,0.13166,0.13166,0,0,0.16381,0.16626,0.08482,0.04618,0.07105,0.11561,0.07738,0.12311,0.1303,0.02309,0.01819,0.01819,0.02309,0,0,0.02229,0.02229,0.02159,0.08385,0.07446,0.08385,0.14467,0.14125,0.0799
0.17941,0.04979,0.10133,0.06956,0.05418,0.01063,0.24361,0.26949,0.24361,0.03204,0.15954,0.16348,0.17725,0.16679,0.22732,0.16854,0.1044,0.14771,0.22455,0.36269,0,0,0.32827,0.38266,0.20834,0.5681,0.59642,0.5681,0.18313,0.36641,0.12549,0.20901,0.18822,0.11032
0.05359,0.02706,0,0,0,0,0.13284,0.07753,0,0.02831,0.02604,0,0.05558,0,0.1629,0.05642,0.02905,0.25769,0,0.25306,0.06979,0.06979,0.02604,0.02604,0,0.03687,0.02706,0.04764,0.02518,0,0.02518,0.02559,0.02989,0
0.26341,0.06639,0.20412,0.20412,0.06675,0.01014,0,0.27737,0,0.06639,0.12716,0.1092,0.05519,0.05261,0.46339,0.1505,0.0332,0.01014,0.02396,0.40474,0.03748,0.03748,0.31596,0.15408,0.1255,0.19012,0.09165,0.24778,0.12721,0.03508,0.12721,0.09661,0.06506,0
0.2918,0.21837,0,0,0,0,0.45786,0.42056,0.06117,0.21472,0.28394,0.23998,0.30971,0.36445,0.46096,0,0,0,0,0.14275,0.01321,0.01279,0,0,0.22016,0.28258,0.25251,0.2435,0,0.14204,0,0.11037,0.03962,0.16061
0.19744,0.01948,0,0.62465,0,0,0.07899,0.07625,0.07899,0.02019,0.01675,0.01835,0,0,0,0.33853,0.28655,0.16729,0,0,0.02702,0.03493,0.64735,0.58164,0.03008,0.30085,0,0.48564,0.62978,0.56963,0.62978,0.07187,0.10664,0
