run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62
0.16103,0.15051,0.15948,0.07074,0.07074,0.07074,0.12553,0.54515,0.55328,0.50655,0.24549,0.37446,0.14369,0.61883,0.63712,0.61339,0.18608,0,0.04594,0.07858,0.09932,0.241,0.11583,0.17886,0.16699,0.40947,0.36763,0.19616,0.65203,0.63963,0.21719,0.41357,0.29768,0.35167,0.10822,0.07715,0.01425,0.32807,0.26132,0.29573,0.48464,0.46804,0.55428,0.20037,0.63712,0.401,0.61339,0.11583,0.14869,0.10987,0.21245,0.23845,0.26351,0.66561,0.65291,0.24433,0.29389,0.29461,0.31612,0.10822,0.01425,0
0.20208,0.20208,0.14554,0,0,0,0,0.42926,0.3825,0.23453,0,0,0,0.65471,0.65569,0.72669,0.17922,0,0.1304,0.30312,0,0.1684,0,0,0,0.18478,0,0,0.73375,0.73375,0.20208,0.30298,0.2265,0.60625,0.05052,0.07818,0.05461,0,0,0,0.3825,0.3825,0.30312,0,0.65569,0.66708,0.72669,0.04757,0,0,0.06375,0.05637,0.05172,0.73375,0.73375,0.05461,0.30298,0.2265,0.60625,0.05052,0.05461,0.06736
0.58455,0.57774,0.34256,0.14204,0.14204,0.14204,0.0937,0.55017,0.464,0.48086,0.3459,0.21132,0.41421,0.41321,0.41258,0.36575,0.55241,0.03962,0.29264,0.27739,0.33347,0.66087,0.5392,0.51134,0.35071,0.20903,0.08962,0.11312,0.5931,0.64874,0.54882,0.1325,0.13283,0.16998,0.22399,0.25066,0.19409,0.2452,0.30404,0.24502,0.60904,0.51497,0.57063,0.30443,0.41258,0.3808,0.36575,0.52398,0.53755,0.29204,0.39523,0.55201,0.59269,0.5877,0.64549,0.44502,0.1325,0.13283,0.16998,0.22399,0.19409,0.21679
0.10382,0.06967,0.16786,0.15594,0.27703,0.27254,0.24871,0.21881,0.28596,0.00507,0.02937,0.08715,0.21656,0.02542,0.01796,0,0.16927,0.29489,0.01015,0.0128,0.18624,0.10853,0.1154,0.08459,0.15958,0.38295,0.33718,0.34078,0.06178,0.07302,0.11725,0.3423,0.33436,0.26349,0.23019,0.22973,0.06087,0.16861,0.13957,0.14814,0.24988,0.17036,0.23883,0.07712,0.01796,0.18884,0,0.07525,0.09831,0.2305,0.03405,0.0341,0.03674,0.05748,0.06885,0.11459,0.3423,0.33436,0.26349,0.23019,0.06087,0.08709
0.10679,0.10478,0.01016,0,0,0,0.04879,0.11829,0.30343,0.08258,0.03384,0.03605,0.05897,0.06831,0.08168,0.07901,0.02103,0,0.09471,0.12902,0.10632,0.11216,0.08329,0.08484,0.08426,0.08156,0.01016,0,0.04495,0.04417,0.10744,0.14263,0.1887,0.10424,0.12686,0.12919,0.01487,0.14246,0.14132,0.14226,0.10543,0.12985,0.13059,0.04291,0.08168,0.07332,0.07901,0.07395,0.08236,0.07532,0.10596,0.06189,0.12088,0.06997,0.06879,0.12608,0.14241,0.15367,0.08743,0.12686,0.01487,0.01408
0,0,0,0,0,0,0,0,0,0,0.335,0.25778,0.13121,0,0,0,0,0,0,0,0,0.08298,0.08681,0,0,0,0,0,0,0,0,0.13121,0.12081,0.16958,0,0.21399,0.07847,0,0,0,0,0,0,0.34355,0,0,0,0.08681,0.08479,0,0,0,0,0,0,0,0.31203,0.21399,0.21399,0,0.07847,0.07847
0.49527,0.52985,0.12378,0.2248,0.2248,0.2248,0.53584,0.44856,0.51454,0.54354,0.04521,0.27117,0.40208,0.57331,0.56417,0.43115,0.20841,0.31332,0.1202,0.24795,0.37304,0.32223,0.42359,0.40493,0.34357,0.28652,0.29865,0.3283,0.2932,0.30176,0.42048,0.42305,0.34848,0.35579,0.38115,0.38115,0.21952,0.29582,0.29541,0.29544,0.4647,0.32889,0.33782,0.10732,0.56417,0.49988,0.43115,0.40929,0.41907,0.35345,0.17123,0.2349,0.20685,0.2945,0.26934,0.42028,0.42305,0.34848,0.35579,0.38115,0.21952,0.27742
0.31634,0.30776,0.18586,0,0,0,0.13443,0.29411,0.31645,0.0652,0.26665,0.48397,0.27695,0.33418,0.38147,0.32516,0.25439,0,0.09347,0.20809,0.18137,0.26744,0,0.14204,0,0.05863,0.01115,0.01158,0.19525,0.22694,0.15505,0.52465,0.16435,0.17919,0.29356,0.2117,0.03551,0.47874,0.56855,0.45987,0.28487,0.15872,0.16804,0.41859,0.38147,0.29247,0.32516,0,0.14204,0.04481,0.03234,0.03286,0.03962,0.225,0.25126,0.13774,0.52465,0.16435,0.17919,0.29356,0.03551,0.03551
0,0,0,0,0,0,0.00785,0.3586,0.40636,0,0,0.01291,0.03827,0.26817,0.22354,0.36828,0.00597,0,0,0,0,0.01638,0,0.00963,0,0,0.33927,0.00694,0.01857,0.024,0,0.0754,0.2896,0.52324,0.00609,0.00597,0,0.10183,0.01072,0.00963,0.2407,0.30638,0.41164,0,0.22354,0.13111,0.36828,0,0.00622,0,0.017,0,0,0.01958,0.02457,0,0.0754,0.2896,0.52324,0.00609,0,0
0.31781,0.30616,0.17652,0.13737,0.13737,0.13737,0.27383,0.25223,0.29184,0.18004,0.14306,0.36887,0.13182,0.22207,0.27376,0.19404,0.32735,0.13039,0.17666,0.34462,0.22343,0.39314,0.19969,0.22781,0.64332,0.11681,0.14286,0.12754,0.43946,0.43674,0.26317,0.26501,0.34839,0.29727,0.20984,0.20984,0.25863,0.45753,0.62187,0.55889,0.3221,0.26093,0.34124,0.07025,0.27376,0.24034,0.19404,0.21585,0.19083,0.18178,0.57224,0.51687,0.45831,0.39664,0.36777,0.24995,0.33418,0.25624,0.29682,0.20984,0.25863,0.18337
0,0,0,0,0,0,0,0,0,0.13531,0,0,0,0,0,0,0.04641,0,0,0,0,0.06643,0,0,0.06643,0,0,0,0,0,0.07396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13186,0,0,0,0,0.05724,0,0,0,0,0,0
0.1537,0.14886,0.30528,0,0,0,0.36084,0.10328,0.01078,0.04794,0,0.01212,0,0.09803,0.06598,0.08781,0.22297,0,0,0,0.17332,0.35534,0.25179,0.30517,0,0.21073,0.25471,0,0.14465,0.15421,0.23116,0.4469,0,0.29495,0.01244,0,0,0,0,0,0.10446,0.10076,0.04714,0,0.06598,0.04102,0.08781,0.25332,0.29843,0,0.01687,0.04735,0.01425,0.16136,0.19551,0.22223,0.12436,0.01158,0.1726,0.01244,0,0
0.5142,0.49317,0.13174,0.27647,0.27647,0.27647,0.70054,0.85979,0.79988,0.6884,0.89692,0.92974,0.95519,0.44967,0.4334,0.31535,0.49065,0.36385,0.49055,0.46294,0.49791,0.70198,0.42744,0.57712,0.66512,0.74873,0.9325,0.36385,0.95724,0.92163,0.73832,0.76066,0.3778,0.47404,0.21221,0.14204,0.21073,0.55154,0.5494,0.65453,0.68999,0.69361,0.7238,1,0.4334,0.47803,0.31535,0.39917,0.4289,0.38131,0.43492,0.11458,0.22228,1,1,0.71263,0.6994,0.36898,0.50657,0.21221,0.21073,0.14204
0,0,0,0.39366,0.39366,0.39366,0,0.34945,0.34945,0.22487,0.03406,0.12196,0,0.28709,0.29332,0.30763,0.03551,0.15638,0,0,0.16825,0,0.3198,0.33841,0,0.09216,0,0.08382,0.07102,0.0506,0.03344,0.03286,0,0.13463,0.15892,0,0.04276,0,0,0,0.36979,0.34945,0.34945,0,0.29332,0.05495,0.30763,0.32031,0.33841,0.25056,0,0,0,0.14204,0.08962,0,0.03286,0,0.13463,0.15892,0.04276,0
0.29042,0.27654,0,0.25772,0.25772,0.25772,0,0.35015,0.51432,0,0,0,0,0.18154,0.32222,0.10858,0,0.24693,0,0,0.34322,0,0.20211,0.29608,0,0,0.24693,0,0.11732,0.10684,0.23265,0.1309,0.11047,0.15643,0.15643,0.13565,0,0,0,0,0.28324,0.33776,0.5527,0,0.32222,0.35196,0.10858,0.20211,0.20211,0.20211,0,0,0,0.12012,0.11732,0.23744,0.11254,0.12682,0.18154,0.15643,0,0
