run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74
0.1127,0.3097,0.1515,0.0452,0.1935,0.0416,0.0442,0.2949,0.0187,0.1133,0.1039,0.0082,0.1402,0.1804,0.1986,0.105,0.0305,0.0272,0.0648,0.0689,0.0031,0.0867,0.0119,0.0281,0.016,0.0878,0.1652,0.1789,0.0229,0.1177,0.1117,0.0143,0.1671,0.1671,0.0254,0.0218,0.0111,0.0062,0,0.0496,0.0061,0.0597,0.0598,0.0442,0.0987,0.014,0.0154,0.0988,0.0064,0.1729,0.0248,0.0017,0.0412,0.1058,0.0786,0.0747,0.1045,0.122,0.094,0.032,0.2944,0.0027,0.0062,0.0652,0.0077,0.122,0.0471,0.2373,0.0238,0.302,0.2274,0.022,0.0127,0.0841
0.0035,1e-04,0.0107,0.0765,0.0206,0.0086,0.0071,0,0.0352,7e-04,0.0101,0.0025,0.0032,4e-04,0.3922,0.2736,0.0136,0.0101,0.0033,5e-04,2e-04,0,0.0012,0.0029,0.0037,6e-04,0,0,1e-04,0.0066,0.3989,0.0188,5e-04,4e-04,0.0117,0.0083,0.0308,0.1122,0.044,0.0801,0.0177,0.0379,0.0438,0.0203,0.003,0,4e-04,0.2805,0.0065,5e-04,1e-04,0,0.0183,2e-04,0.0448,0.0444,0.0108,9e-04,5e-04,0.0135,0,0,0,0.0209,0.0021,0.0053,0.0564,4e-04,0.0396,0.3021,0.0015,0.0363,0.0112,0.0193
0.32,0.3421,0.1792,0.0664,0.3422,0.1605,0.1666,0.262,0.1014,0.0491,0.2562,0.2525,0.1209,0.2101,0.272,0.2506,0.2023,0.2478,0.2008,0.2641,0.2389,0.2418,0.0066,0.014,0.0219,0.1485,0.07,0.0722,0.2465,0.372,0.372,0.1269,0.0298,0.0298,0.0106,0.0798,0.001,0.3679,0.0012,0.0661,0.1446,0.1588,0.1078,0.0401,0.0368,0,0,0.2846,0.2893,0.3211,0,0,0.2269,0.1923,0.1769,0.0824,0.0878,0.0675,0.1792,0.1081,0.2309,0,0,0.0509,0.1166,0.1827,0.2334,0.2175,0.1298,0.455,0.0436,0.0969,0.016,0.0061
0.4794,0.517,0.6552,0.5849,0.6928,0.7695,0.755,0.7326,0.5919,0.6197,0.6541,0.6399,0.6981,0.672,0.5316,0.5282,0.7439,0.7487,0.6585,0.5258,0.1193,0.0031,0.1595,0.4237,0.1122,0.3299,0.0441,0.4099,0,0.4735,0.4735,0.1305,0.3093,0.3093,0.1428,0.4838,0.1618,0.5056,0.0224,0.103,0.2753,0.3311,0.391,0.3863,0.3931,2e-04,1e-04,0.6619,0.2966,0.4101,0,0,0.4895,0.6029,0.3549,0.4967,0.6583,0.5009,0.6396,0.4821,0.5721,0,0.0206,0.4476,0.0118,0.6258,0.3014,0.6939,0.5727,0.7589,0.4753,0.4876,0.4106,0.3437
0.2466,0.1015,0.2323,0.2053,0.1945,0.1474,0.1463,0.1292,0.2223,0.1469,0.1244,0.2645,0.0221,0.1955,0.13,0.1836,0.1329,0.1399,0.1521,0.1121,0.1049,0.12,4e-04,4e-04,0.0047,0.05,0.0964,0.0775,0.0632,0.0843,0.166,0.0683,0.1275,0.1275,0.0172,0.1109,0.0873,0.0608,0.0031,2e-04,0.0879,0.0844,0.1662,0.0801,0.0798,0,0,0.0897,0.0447,0.0577,0.0052,0,0.2382,0.1111,0.2424,0.1624,0.1411,0.0949,0.1221,0.1435,0.1355,0,0,0.0854,0.0894,0.1013,0.1743,0.0804,0.1353,0.2594,0.0691,0.0936,0.2779,0.0021
0.6577,0.6725,0.624,0.6891,0.5302,0.6955,0.6884,0.682,0.6503,0.5884,0.5033,0.4786,0.4808,0.5006,0.7562,0.6648,0.67,0.6608,0.6683,0.5255,0.6086,0.6017,0.0699,0.1943,0.0311,0.4789,0.0602,0.0225,0.12,0.6384,0.3239,0.3151,0.4674,0.3997,0.1079,0.7264,0.6383,0.2553,0.1222,0.0044,0.4822,0.5402,0.7326,0.7204,0.706,0,0,0.5198,0.294,0.5198,0,0,0.6257,0.6091,0.6613,0.6482,0.62,0.569,0.6737,0.6883,0.6625,0.1042,0.0913,0.2579,0.266,0.7566,0.0216,0.6996,0.549,0.9292,0.6078,0.7151,0.7137,0.0071
0.1656,0.1717,0.1696,0.0507,0.0851,0.0604,0.0594,0.0542,1e-04,0.0055,0.0433,0.0384,0.0777,0.0686,0.1581,0.15,0.0297,0.0356,0.0595,0.0468,0.0596,0.0371,0.0051,0.0091,0.0093,0.0614,0.0047,4e-04,0.0773,0.0964,0.04,0.1141,0.0495,0.0495,0.0053,0.0615,0.0923,0.1423,0.0559,0.0556,0.0197,0.0858,0.0699,0.0679,0.073,0.0047,0.0016,0.0707,0.018,0.0886,2e-04,0,0.1548,0.1085,0.314,0.0224,0.0272,0.0194,0.1564,0.1205,0.144,0,0,0.1303,0.125,0.0877,0.0519,0.1808,0.0545,0.2017,0.0469,0.0169,0.1995,0.1838
0.3673,0.4024,0.3397,0.2374,0.4418,0.288,0.1955,0.4285,0.1961,0.2094,0.1586,0.4229,0.5247,0.5752,0.5635,0.6221,0.2723,0.3622,0.253,0.0263,0.3473,0.0144,0.1341,0.3569,0.6058,0.5285,0.7454,0.5489,0.0232,0.2904,0.3213,0.0348,0.2738,0.157,0.2113,0.0999,0.0185,0.6461,0.0233,0.3574,0.5474,0.7094,0.3361,0.381,0.3654,0,0,0.3381,0.6424,0.6235,0,0,0.4903,0.3716,0.7296,0.4144,0.4092,0.0029,0.4754,0.3741,0.4371,0,0.1111,0.0085,0.0096,0.4812,0.3868,0.5232,0.295,0.8301,0.5623,0.5604,0.6796,0.517
0.1757,0.2674,0.2233,0.2221,0.2322,0.2415,0.2131,0.2544,0.2775,0.2595,0.21,0.1438,0.0656,0.4188,0.2655,0.2761,0.1902,0.2387,0.0968,0.1221,0.1619,0.1853,0.0593,0.0844,0.1211,0.2131,0.1757,0.1809,0.0042,0.3668,0.1725,0.1544,0.0903,0.0903,0.0712,0.1946,0.1965,0.3147,0.0079,0.1463,0.2485,0.2754,0.2084,0.2149,0.1593,0.043,0.0248,0.0763,0.0362,0.2814,0.0037,9e-04,0.256,0.3109,0.1867,0.2017,0.2249,0.0486,0.2708,0.2934,0.2259,0,0.0184,0.1648,0.1468,0.3638,0.1397,0.3355,0.2954,0.5324,0.2354,0.227,0.0148,0.1118
0.07,0.1017,0.1709,0.0356,0.1224,0.1162,0.1249,0.2728,0.0157,0.1449,0.1179,0.0173,0.0571,0.0294,0.0761,0.095,0.0972,0.0818,0.1626,0.2444,0.391,0.2773,0.009,0.0156,0.0302,0.0384,0.15,0.1438,0,0.3754,0.0657,0.0768,0.1163,0.1151,0.0258,0.0338,0.0217,0.1655,0.049,0.0779,0.0122,0.0147,0.0671,0.0209,0.043,2e-04,2e-04,0.2845,0.0227,0.1086,0,0,0.1378,0.0338,0.2046,0.2368,0.2907,0.3662,0.0923,0.0868,0.1881,0,0,0.0923,0.0577,0.0702,0.0514,0.1462,0.0964,0.343,0.0737,0.0161,0.0036,0.0233
