run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48
0,0,0,0.16511,0.09302,0.09302,0,0.00347,0.02295,0.02428,0.02409,0,0,0,0.0125,0.01103,0.01442,0.0625,0.03365,0,0,0,0,0.00625,0,0,0,0,0,0,0.09302,0.09302,0.0146,0.012,0.01283,0.0125,0.08523,0,0,0,0,0,0.00329,0.00313,0,0,0,0
0,0,0,0,0.05043,0.07125,0.09191,0.02375,0.06558,0.06738,0.03576,0.07366,0.07077,0.06271,0.07449,0.09587,0.07274,0.02993,0.01921,0.12996,0.09113,0.11304,0.08852,0.04441,0.06247,0.06112,0.05908,0.06123,0.06288,0.01172,0.05043,0.07125,0.07087,0.0918,0.03857,0.11632,0.0706,0.11327,0.1002,0.04176,0.03805,0.0723,0.03315,0.04384,0.06003,0.04719,0.0636,0.05804
0.12283,0.31929,0.14082,0.07537,0.164,0.9497,0.24672,0.3277,0.23882,0.31727,0.31727,0.1944,0.1944,0.19436,0.19521,0.19436,0.19626,0.48388,0.19782,0.48924,0.48905,0.9578,0.3194,0.96776,0.48404,0.19774,0.24644,0.24672,0.19775,0.16505,0.164,0.9497,0.31665,0.24296,0.24295,0.48111,0.24452,0.9578,0.9578,0.19435,0.1943,0.32486,0.96808,0.96775,0.95768,0.24663,0.24461,0.3279
0,0,0,0,0.08799,0,0.00368,0.00417,0,0,0,0.01158,0.01158,0.01432,0.07349,0.02532,0.07734,0,0,0.04102,0.0459,0.02763,0.05735,0.13444,0.02013,0,0,0,0.00329,0.00347,0.08799,0,0,0,0,0.01625,0.00368,0.02763,0.02763,0.02349,0.02349,0.01603,0.05535,0.18807,0.00481,0,0,0
0.04287,0.13574,0.08317,0.02606,0.0941,0.08577,0.9375,0.06208,0.11925,0,0,0.01562,0.01562,0.00625,0.21081,0.12586,0.30559,0.20977,0.09672,0.02376,0.02007,0.08812,0.03069,0.05228,0.02227,0.15679,0.09281,0.10094,0.47005,0.04802,0.0941,0.08577,0.00481,0.00481,0.00481,0.20355,0.50195,0.08812,0.09021,0,0,0.01061,0.10447,0.05416,0.03548,0.09961,0.15524,0.10028
0,0,0.00313,0,0,0.04518,0,0.07109,0,0,0,0.05291,0.05291,0.07187,0.01087,0.00481,0.00755,0.01266,0.03315,0,0,0.02719,0.01992,0.0179,0.05139,0.11037,0.13574,0.12551,0,0.00694,0,0.04518,0,0,0,0.01353,0,0.02719,0.02719,0.00329,0.00329,0.02384,0.03218,0.02216,0.05667,0.1156,0.11278,0.12549
0.15644,0.0465,0.2309,0.09691,0.5976,0.63862,0.10222,0.19066,0.07434,0.16797,0.16797,0.51682,0.51682,0.51464,0.07519,0.00347,0.11738,0.53603,0.52026,0.00622,0.01714,0.10214,0.20494,0.48416,0.13846,0.14384,0.15632,0.15374,0.1435,0.10428,0.5976,0.63862,0.21372,0.20502,0.14928,0.11209,0.1979,0.10214,0.10214,0.51328,0.51328,0.47199,0.48923,0.95292,0.29063,0.17001,0.14906,0.1286
0.3125,0.07812,0.3125,0.13393,0.1212,0.1212,0,0,0.0625,0.04688,0,0.02214,0.02214,0.02297,0,0,0,0.10645,0.01867,0,0,0.13393,0.1398,0.18558,0,0.04297,0.05078,0.05078,0,0.10417,0.1212,0.1212,0.04934,0.05208,0.05515,0.00313,0,0.13393,0.13393,0.10534,0.09497,0.14183,0,0.18558,0,0.10571,0.04102,0.03613
0.00329,0,0.00329,0.06639,0.24674,0.24674,0.07195,0.07293,0.15391,0.11202,0.10524,0.48925,0.48925,0.48925,0.01126,0.01126,0.00913,0.96805,0.96808,0.96808,0.96808,0.96776,0.95867,0.96808,0.96808,0.96775,0.96775,0.96776,0.00391,0.08684,0.24674,0.24674,0.12288,0.1222,0.11863,0.06594,0.0584,0.96776,0.96776,0.0625,0.06696,0.19095,0.96808,0.96808,0.96808,0.96776,0.96776,0.96774
0.00742,0,0.00791,0,0.08456,0.09753,0.47222,0.05535,0.08386,0.10485,0.09218,0.0974,0.0974,0.13871,0.0625,0.06696,0.06696,0.34579,0.31376,0.13499,0.10511,0.18521,0.07664,0.09614,0.17105,0.19193,0.189,0.19149,0.07911,0,0.08456,0.09753,0.13037,0.11619,0.12149,0.0627,0.23822,0.18521,0.18521,0.0611,0.01339,0.05028,0.08579,0.10946,0.326,0.18834,0.18959,0.1888
0.01292,0.04376,0.01292,0.01176,0.3775,0.26446,0.02993,0.0639,0.93966,0.93949,0.9412,0.0822,0.0822,0.08072,0.05278,0.06015,0.09778,0.10784,0.19589,0.10657,0.24483,0.96775,0.96756,0.96808,0.58088,0.36513,0.30457,0.30385,0.04315,0.02592,0.3775,0.26446,0.09197,0.12378,0.12257,0.04874,0.01174,0.96775,0.96775,0.01951,0.03164,0.02896,0.48924,0.96808,0.96776,0.30457,0.30557,0.20326
0.00781,0.03125,0.00893,0.04102,0.15549,0.18114,0,0.00991,0.0125,0.06733,0.06445,0.00417,0.00417,0.00951,0,0,0,0.07864,0.00568,0.19103,0.07702,0.06616,0.16939,0.16908,0.15586,0.10746,0.0625,0.0625,0.05548,0.024,0.15549,0.18114,0.08417,0.02227,0.11934,0,0.00939,0.06616,0.06616,0.02734,0.02734,0.03125,0.17023,0.16908,0.11847,0.0625,0.06558,0.0625
0.1237,0.07087,0.1237,0.00781,0,0,0.049,0.0245,0,0.00521,0.00417,0.00568,0.00521,0.00893,0.05153,0.05657,0.05496,0,0,0.01201,0.00568,0.00699,0.01836,0.01042,0.01222,0.00694,0.00694,0.00417,0.0585,0.01042,0,0,0.0625,0.0625,0.0625,0.04096,0.03326,0.00699,0.00699,0,0,0.01783,0.00313,0.00391,0.00846,0.01003,0.00625,0.00521
0.08839,0.06412,0.12274,0,0,0,0.00521,0.00329,0.25362,0.0127,0.00368,0,0,0,0,0,0,0.08398,0,0.00694,0.00568,0.24563,0,0,0.01096,0.0875,0.10391,0.10288,0,0,0,0,0.09563,0.08275,0.11547,0,0.02917,0.34573,0.24397,0.00329,0.00347,0.00329,0,0,0.02822,0.105,0.0875,0.00656
0.20445,0.20445,0.20445,0.01902,0.00417,0.06901,0.08403,0.11057,0.48834,0.33521,0.24743,0,0,0,0.0615,0.06272,0.1115,0.01042,0.0125,0.13696,0.12708,0.02035,0.4769,0.32788,0.06294,0.0532,0.07232,0.08572,0.15405,0.04058,0.00417,0.06901,0.33372,0.47597,0.206,0.08904,0.08236,0.02035,0.06751,0.0125,0.0125,0.0125,0.32266,0.32788,0.01044,0.08567,0.06188,0.08572
0.1875,0.08523,0.1875,0,0.94757,0.94557,0,0,0.06214,0.47574,0.47574,0.1044,0.1044,0.14111,0.12186,0.12811,0.12186,0.9388,0.24147,0,0,0.95735,0.36034,0.35954,0.16453,0.12444,0.23978,0.12738,0,0,0.94757,0.94557,0.23913,0.19944,0.1638,0.36005,0,0.95735,0.95735,0.09491,0.09473,0.09739,0.46941,0.35678,0.21283,0.23914,0.12912,0.12994
0.31283,0.23551,0.31289,0.00446,0.26049,0.18808,0.17982,0.11691,0.48925,0.11816,0.11065,0.04184,0.04286,0.32583,0.18201,0.17878,0.18234,0.18381,0.48431,0.23604,0.30974,0.96808,0.94621,0.94447,0.31873,0.32259,0.32258,0.32259,0.5401,0.07187,0.26049,0.18808,0.12271,0.17173,0.13498,0.17937,0.33572,0.96808,0.96808,0.31757,0.08262,0.16361,0.31924,0.94229,0.19083,0.32246,0.32256,0.32268
0.01107,0.00781,0.01238,0.35649,0.09869,0.47184,0.13364,0.17155,0.13489,0.12613,0.12268,0.07846,0.07801,0.07654,0.15363,0.15481,0.15246,0.94085,0.46973,0.19892,0.19937,0.09981,0.12621,0.13708,0.11695,0.04262,0.03839,0.05056,0.13649,0.16089,0.09869,0.47184,0.12928,0.1196,0.14099,0.13881,0.15751,0.10625,0.06819,0.13214,0.13214,0.08298,0.07001,0.13884,0.16899,0.05208,0.04417,0.0436
0,0,0,0.05859,0.1212,0.1212,0,0,0,0.23486,0.18786,0.17613,0.17613,0.17613,0.17613,0.17613,0.17613,0.03125,0.08013,0.17613,0.17613,0.11005,0.17613,0.17613,0.1212,0.0625,0.0625,0.0625,0,0,0.1212,0.1212,0.00446,0.00417,0.00391,0.17613,0,0.11005,0.11005,0.0421,0.0421,0.11011,0.15501,0.17613,0.17613,0.0625,0.0625,0.06558
0,0.00676,0,0,0,0.00313,0.00329,0.03468,0,0,0,0,0,0,0,0,0,0.06783,0.0071,0.0918,0.08203,0.0185,0.01311,0.00918,0,0.0459,0.04328,0.0459,0,0.0819,0,0.00313,0,0,0,0,0,0.0185,0.0185,0,0,0,0,0.00521,0,0.05048,0.03491,0.04913
0.01982,0.01981,0.01982,0.31388,0.48905,0.95154,0.09522,0.19349,0.07352,0.0795,0.0551,0.11833,0.11833,0.11821,0.1212,0.1212,0.1212,0.48892,0.94448,0.16882,0.18552,0.06826,0.154,0.22302,0.19504,0.15161,0.16632,0.11848,0.06939,0.94137,0.48905,0.95154,0.08035,0.11273,0.10967,0.1212,0.09242,0.06826,0.06826,0.15496,0.16528,0.17455,0.14482,0.23617,0.20439,0.18631,0.08033,0.14454
0.38291,0.39867,0.38292,0.57159,0.03867,0.09375,0.34883,0.36239,0.23769,0.3442,0.3442,0.2797,0.27994,0.30252,0.27392,0.3973,0.29964,0.4767,0.46035,0.26367,0.26367,0.12667,0.22341,0.22802,0.2793,0.13416,0.15661,0.13428,0.35153,0.40108,0.03867,0.09375,0.2136,0.18699,0.20513,0.32757,0.30554,0.1377,0.12041,0.46232,0.46231,0.37235,0.14374,0.22675,0.33536,0.06554,0.18783,0.11747
0.00391,0.00846,0.00391,0.19734,0.13648,0.3266,0.02813,0.14061,0.0744,0.08603,0.08342,0.50488,0.50488,0.13823,0.12284,0.05009,0.12296,0.08575,0.07365,0.0428,0.07161,0.2016,0.08178,0.19658,0.9413,0.21855,0.22407,0.20783,0.01991,0.09076,0.13648,0.3266,0.01388,0.0153,0.01227,0.0987,0.02612,0.2016,0.20194,0.02041,0.01431,0.12006,0.09663,0.21127,0.94155,0.26819,0.2071,0.21817
0.11218,0.12788,0.11218,0.47475,0.38656,0.38648,0.09073,0.02539,0.29578,0.23889,0.21995,0.05314,0.05314,0.0884,0.24674,0.24636,0.31966,0.11837,0.37259,0,0,0.93793,0.09916,0.20546,0.06665,0.31544,0.31544,0.31544,0.11136,0.15854,0.38656,0.38648,0.07141,0.04016,0.07429,0.20554,0.10243,0.93793,0.9394,0.02432,0.02527,0.03511,0.13066,0.22074,0.30436,0.31544,0.31544,0.31544
0.00625,0,0.00694,0.14228,0.15089,0.15089,0.06353,0.0828,0.0292,0.06177,0.06177,0.17569,0.17569,0.23387,0.37523,0.37537,0.17569,0.20694,0.37664,0.02165,0.08508,0.34888,0.14708,0.34611,0.23547,0.29766,0.27743,0.27492,0.30069,0.27016,0.15089,0.15089,0.04464,0.04464,0.0404,0.37527,0.10428,0.34888,0.34888,0.09277,0.07736,0.10316,0.25107,0.36288,0.38367,0.24263,0.27399,0.27399
