run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74
0.3333,1,1,0.5,1,0.3333,0.3333,1,1,1,1,0.0435,1,1,1,1,0.1,0.1111,0.5,1,0.0083,1,0.5,0.125,1,1,1,1,0.3333,1,1,0.3333,1,1,1,0.5,1,0.3333,0.0055,1,0.0417,0.5,1,1,1,0.2,0.0769,1,0.0714,1,1,0.0714,0.25,0.0714,1,0.5,1,1,1,0.25,1,0.2,0.04,0.5,0.2,1,0.3333,1,0.1429,1,1,0.5,1,0.3333
0.0244,0.0026,0.0244,0.1667,0.0303,0.0286,0.0152,0,1,0.0047,0.0087,0.0112,0.006,0.0075,1,1,0.04,0.0303,0.0063,0.0036,0.0059,0,0.0139,0.0323,0.0167,0.0192,0,0,0.0019,0.0345,1,0.0909,0.0061,0.0056,0.0244,0.007,0.3333,0.25,0.1667,1,0.0909,0.0714,0.1,0.5,0.0556,0,0.0027,1,0.0244,0.0034,0.0017,0,0.1429,0.0034,0.0556,0.3333,0.0196,0.0227,0.0049,0.0526,0,0,0,0.1,0.0238,0.0104,1,0.0046,0.1429,0.5,0.0133,0.5,0.0625,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0556,0.1667,0.1667,1,0.5,0.5,0.5,1,1,1,1,1,0.25,1,0.0049,1,0.0189,1,1,1,1,0.5,0.5,0,0,0.5,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0.5,1,0.125,0.2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,0.5,0.1111,1,1,1,1,1,0.001,0.5,0.5,0.5,1,1,0.3333,1,1,0.5,0.1429,1,1,1,1,1,1,0.0213,0.0058,1,0.25,1,0.0017,0.0027,1,1,1,1,1,1,1,1,1,0,0.5,1,0.2,1,1,1,1,1,1,1,1,0.5
1,0.1667,1,1,0.5,0.1429,0.1429,1,1,1,0.5,0.3333,0.0588,0.3333,0.5,1,0.1429,0.5,0.5,0.5,0.5,0.5,0.0026,0.0081,0.0086,0.1667,1,1,0.5,1,1,0.3333,0.5,0.5,0.0357,0.1,0.5,0.0833,0.0455,0.0023,0.1111,0.5,0.5,1,1,0,0,0.0455,0.0455,0.125,0.0167,0,1,0.125,1,0.5,0.3333,0.1667,0.1429,0.3333,1,0,0,0.3333,0.3333,0.1111,1,0.1667,0.5,1,0.1429,0.3333,1,0.0041
1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.0833,0.25,0.0312,1,0.5,0.5,0.0769,1,1,0.3333,1,1,0.5,1,1,1,1,0.04,1,1,1,1,1,0,0,1,0.1667,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.3333,0.3333,1,1,1,1,1,1,1,1,0.04
0.5,0.3333,0.5,0.25,0.5,0.5,0.3333,0.1111,0.0012,0.037,0.1667,0.1,0.5,0.0833,0.3333,0.3333,0.0526,0.1,0.25,0.3333,0.5,0.125,0.0164,0.0256,0.0204,0.0909,0.0278,0.0068,0.25,0.25,0.1111,0.25,0.1667,0.1667,0.0067,0.5,1,1,1,1,0.0345,0.1667,0.3333,0.5,0.3333,0.0312,0.0075,0.25,0.0312,0.2,0.003,0,1,0.2,1,0.0385,0.0169,0.0133,0.5,1,0.5,0,0,1,1,0.1667,0.3333,0.5,0.25,0.3333,0.2,0.1429,1,1
1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,0.0435,1,0.0179,1,1,1,1,1,1,0.037,0.5,0.5,0.1667,1,1,1,0.3333,0.0667,1,0.0556,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.0078,1,1,1,0,1,0.0133,0.0149,1,1,1,1,1,1,1,1,1
0.5,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,1,1,1,1,1,1,1,0.0233,1,1,1,1,1,1,1,1,1,0.0233,1,1,1,1,0.5,0.5,1,0.5,0.5,0.0323,1,0.0909,0.0182,1,1,1,1,1,1,1,1,1,0,0.0833,1,0.5,1,1,1,1,1,1,1,0.04,1
0.0625,0.1667,0.3333,0.0169,0.25,0.3333,0.3333,1,0.0345,1,1,0.0233,1,0.0714,0.3333,0.3333,0.25,0.2,1,1,1,1,0.0094,0.0156,0.0455,0.0833,0.5,0.5,0.0016,1,1,0.5,1,1,0.3333,0.1429,0.1667,1,1,0.1,0.0179,0.0833,0.0714,0.5,1,0.0081,0.0101,1,0.0098,1,0,0,1,0.1429,1,1,1,1,0.5,1,0.5,0,0,1,0.1429,0.5,0.1429,0.3333,0.2,0.5,0.1111,0.0294,0.1429,0.3333
0.25,1,1,1,1,1,1,1,1,1,0.5,1,0.1667,1,1,1,0.3333,1,1,0.0833,1,1,1,0.5,1,1,1,1,0.0133,1,1,0.3333,0.5,0.5,0.3333,1,1,0.2,0.0116,0.0769,1,1,1,1,1,1,0.0185,1,1,1,0.0909,0.0067,1,0.25,1,1,1,1,1,1,1,0.0769,0.0625,1,1,0.5,1,1,1,1,1,0.5,1,1
1,0.5,0.5,0.3333,0.5,0.3333,0.2,0.25,1,1,1,1,1,0.3333,1,1,0.5,0.1429,1,0.0156,0.0058,0.0667,0.5,0.5,0.125,0.3333,0.2,0.1667,0.0833,1,0.25,0.2,0.0333,0.0667,0.1667,0.0476,0.125,1,0.0417,1,0.1111,0.1429,0.1111,0.125,0.25,0.1111,0.0238,1,0.0588,0.1,0.1111,0.125,1,1,0.5,0.0833,0.3333,0.0345,0.3333,0.0667,0.125,0,1,0.2,1,0.5,0.125,1,0.1429,1,1,0.25,1,1
0.5,1,1,1,1,1,1,1,1,0.3333,0.5,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,0.5,1,1,1,1,1,0.05,0.5,0.5,1,1,1,1,1,1,1,1,0.1111,0.0175,1,0.0588,1,0.0012,0,1,1,1,1,1,1,1,1,1,0,0.0909,0.5,1,1,0.5,0.5,1,1,1,1,1,0.25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0122,0.0227,1,0.3333,1,1,0.0169,1,1,1,0.1,0.1,0.5,1,1,0.5,0.0714,1,1,1,1,1,1,0,0.0026,1,1,0.3333,0.004,0.0073,1,1,1,1,1,1,1,1,1,0,0.0128,1,1,1,1,0.5,1,1,0.5,1,1,1
1,1,1,0.5,1,1,1,1,1,1,1,0.3333,0.5,1,1,1,1,1,1,1,0.0152,0.05,0.0526,0.0588,0.3333,0.0833,1,1,1,1,1,1,1,1,0.0833,1,1,1,0.0127,1,1,0.5,1,1,1,0.0029,0.0085,0.0244,0.0196,1,0.0182,0.0028,1,1,1,0.0833,1,1,1,0.5,1,0,0.5,0.1667,0.5,1,1,1,0.5,0.25,1,0.3333,1,1
0.0213,0.3333,1,0.0625,0.3333,0.0435,0.027,0.0141,0.25,0.3333,0.2,0,1,1,0.25,0.3333,0.0238,0.025,0.1667,0.0049,0,0.0022,0.0016,0.0035,0.0333,0.0625,1,1,0.0189,0.5,0.1429,0.0278,0.3333,0.1667,0.0038,0.0385,0.0101,0.3333,0.0024,0.0625,0.013,0.0588,1,0.25,0.0417,0,0,1,0.0021,0.2,0.0072,0,0.2,0.0043,1,0.01,1,0.04,0.5,0.1,1,0,0,0.3333,0.0039,0.0323,0.5,0.0476,0.0833,0.3333,1,0,0.0714,0.25
1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.3333,1,1,1,0.5,1,1,0.5,0.5,0.3333,0.3333,1,0.5,0.5,1,0.5,1,1,0.2,0.5,0.5,1,1,1,1,0.0833,1,0.3333,0.2,1,0.5,0.3333,0.05,0.0175,1,1,1,0.1667,0.0045,1,1,1,1,0.3333,0.5,1,1,0.3333,0,0,0.3333,0.3333,1,1,1,0.3333,1,1,1,1,1
