run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88
0.01261,0.0233,0,0,0,0.0093,0.11913,0.08104,0.1631,0.26726,0.02704,0.10059,0,0.03451,0.0179,0,0.04056,0.04594,0,0,0.05671,0.05671,0.01914,0.06208,0.06826,0.05939,0.00885,0,0.10113,0.10113,0.09383,0.01822,0.05211,0.00849,0,0.01369,0,0,0,0.06482,0.07572,0,0.07639,0.01965,0.27957,0.4976,0.02343,0,0.05032,0.05032,0.01805,0.02641,0.05649,0,0,0,0.00819,0,0,0.10887,0.21633,0.17751,0.06208,0.06826,0.05939,0,0,0.02046,0.06844,0.10132,0.08981,0.01822,0.00885,0.063,0,0,0,0,0.02741,0.03069,0.02486,0.07369,0.07572,0.07639,0,0.05032,0.00819,0.15981
0,0,0,0,0,0,0.76588,0.2756,0.55163,0.01115,0.08059,0.12947,0,0,0,0,0,0,0,0,0,0,0,0.13005,0.1321,0.13005,0,0,0.06248,0.0618,0.01494,0,0,0,0.01212,0.01212,0.04735,0,0.01095,0.01494,0.08253,0,0.08605,0,0,0,0.06807,0.03332,0.29787,0.29787,0,0,0,0,0,0,0,0,0,0.44064,0.41144,0.41933,0.13005,0.1321,0.13005,0,0,0,0.07093,0.11573,0.01687,0,0.03731,0,0.04735,0,0.01321,0,0,0,0,0,0.08253,0.08605,0.02039,0.29787,0.09806,0
0.24788,0.25787,0.31461,0.29715,0.41884,0.22384,0.59095,0.3337,0.16246,0.70617,0.31072,0.4297,0.42834,0.49961,0.62918,0.4314,0.27324,0.54876,0.29976,0.25253,0.299,0.299,0.3116,0.31238,0.3107,0.30836,0.31054,0,0.33573,0.33591,0.39823,0.32093,0.33628,0,0.3184,0.1776,0.255,0.32175,0.28756,0.40901,0.35146,0.07701,0.35146,0.5129,0.75262,0.75483,0.26986,0.74059,0.29246,0.31079,0.40041,0.40041,0.28605,0.29962,0.27752,0.28829,0.33293,0.29715,0.41884,0.39552,0.41752,0.35849,0.31238,0.3107,0.30836,0.29613,0.29613,0.29328,0.19736,0.2111,0.20001,0.32074,0.25062,0.34011,0.255,0.19511,0.31123,0.13512,0.31035,0.30379,0.38093,0.17704,0.35146,0.35146,0.17642,0.29246,0.24911,0.44874
0,0,0.05365,0.03553,0,0.0256,0.09784,0.3085,0,0,0,0,0.0148,0,0,0,0,0,0,0.04019,0.04748,0.04748,0.04748,0,0,0,0,0,0.12482,0.12482,0.16427,0.04183,0.04183,0,0.02358,0.02536,0,0.01402,0.04568,0,0,0,0,0,0,0,0.13547,0,0,0,0.03353,0.03353,0,0.01583,0,0.01583,0.04868,0.03553,0,0.26643,0.29466,0.22227,0,0,0,0,0,0,0.16427,0.17906,0.03939,0.04183,0.02738,0.03886,0,0.06823,0,0.02738,0,0,0,0,0,0,0,0,0.07601,0.11653
0.28844,0.48463,0.17728,0.16131,0.5766,0.13801,0.25097,0.05026,0.20206,0.48439,0.39873,0.48439,0.37904,0.78653,0.74772,0.4112,0.41863,0.54237,0.07698,0.02532,0.22668,0.22668,0.22668,0.27126,0.27039,0.27126,0.12484,0,0.1564,0.1564,0.23627,0.06507,0.06507,0.01064,0.13663,0.46074,0.24107,0.17228,0.12487,0.17472,0.17283,0.02811,0.17283,0.53941,0.53941,0.22012,0.06134,0.26836,0.39607,0.39607,0.14817,0.14817,0.14817,0.06053,0.21561,0.06053,0.19615,0.16131,0.5766,0.09245,0.09797,0.10502,0.27126,0.27039,0.27126,0.27257,0.27257,0.17349,0.28268,0.25693,0.07817,0.06507,0.06309,0.06035,0.24107,0.20121,0.17181,0.08639,0.21912,0.21937,0.22326,0,0.17283,0.17283,0.58997,0.39607,0.41534,0.173
0.24085,0.22741,0.1086,0.10694,0.1171,0.13898,0.11338,0.34984,0.04304,0.2289,0.12017,0.18143,0.1807,0.17735,0.12112,0.10312,0.10738,0.20506,0.19924,0.12688,0.06275,0.06275,0.13906,0.21124,0.20411,0.25651,0.31719,0,0.22122,0.22122,0.12382,0.14609,0.17492,0,0.17044,0.18646,0.23034,0.1966,0.15353,0.06205,0.25493,0.1486,0.25171,0.21854,0.21854,0.26831,0.16505,0.21557,0.20779,0.20779,0.20592,0.21564,0.25156,0.16017,0.15226,0.17828,0.1204,0.10694,0.1171,0.29132,0.33405,0.28498,0.21124,0.20411,0.25651,0.03565,0.03565,0.26098,0.14225,0.20711,0.01837,0.14609,0.03412,0.2126,0.23034,0.10019,0.20777,0.13479,0.23182,0.25438,0.2082,0.27966,0.25493,0.25171,0.37105,0.20779,0.21798,0.29075
0.09753,0.25396,0.19472,0.27009,0,0.00588,0.35898,0,0.29069,0.21369,0.15949,0.21369,0.37918,0.23948,0.19941,0.38129,0.41264,0.17593,0.09863,0.06667,0.0981,0.0981,0.0981,0.19576,0.14754,0.16193,0.12102,0,0.22856,0.22856,0.32068,0.03776,0.03987,0.01076,0.01234,0.04709,0.10708,0.07987,0.04078,0,0.06187,0,0.06187,0.47375,0.22226,0,0,0,0.17043,0.17043,0.02602,0.02602,0.09229,0.04988,0.10304,0.04988,0.17772,0.27009,0,0.05174,0.05306,0.0904,0.19576,0.14754,0.16193,0.32889,0.32889,0.17644,0.15992,0.2214,0.24719,0.03776,0.09309,0.05255,0.10708,0.02411,0.07429,0.07868,0.0912,0.08938,0,0.05255,0.06187,0.06187,0.02564,0.17043,0.19712,0.31319
0.1313,0.11953,0.05528,0.04577,0.0701,0.46401,0.11816,0.03787,0.03272,0,0,0,0.20597,0.11715,0.06959,0.19787,0.18998,0.10543,0,0,0.11879,0.11879,0.11879,0.11893,0.11893,0.11692,0,0,0.26898,0.26898,0.28929,0.10493,0.0858,0.06187,0.09237,0,0.08851,0.01862,0.02665,0.1009,0.08969,0,0.08969,0.15702,0.10558,0.02945,0.01788,0.06581,0.01788,0.01788,0.05387,0.05387,0.03609,0,0,0,0.05692,0.04577,0.0701,0.07932,0.09219,0.14706,0.11893,0.11893,0.11692,0,0,0.1791,0.25004,0.23913,0.09426,0.10493,0.13134,0.06111,0.08851,0.01547,0.01726,0.03302,0,0,0.01514,0,0.08969,0.08969,0,0.01788,0,0.16794
0.27957,0.40014,0,0,0.66338,0,0,0.22213,0.09523,0.46664,0,0.43982,0,0.38702,0.31846,0,0.00921,0.25681,0,0,0,0,0,0.14623,0.14623,0.14349,0.00906,0,0.19536,0.19536,0.33415,0.01861,0.01911,0,0.00937,0,0.04335,0.01019,0,0.50233,0.13506,0.13413,0.13506,0.2567,0.56649,0.52117,0.02763,0.60369,0.38339,0.38339,0.05971,0.05971,0.10591,0,0,0,0.02719,0,0.66338,0.19273,0.22294,0.21018,0.14623,0.14623,0.14349,0,0,0.37274,0.24201,0.31502,0.1122,0.01861,0.03137,0.02065,0.04335,0,0,0,0.15537,0.1571,0.10591,0.16635,0.13506,0.13506,0,0.38339,0.02964,0.26884
0.76008,0.96714,0.65579,0.72353,0.69724,0.29596,0.76805,0.37436,0.34368,0.85738,1,1,0.48465,0.93163,0.96269,0.57271,0.61088,0.96656,0.77126,0.67253,0.62047,0.62047,0.68431,0.56865,0.56865,0.56865,1,0,0.75271,0.75271,0.77609,0.87914,0.87914,0.10508,0.92307,0.76166,0.9336,0.96766,0.96766,0.95894,0.75735,0.11668,0.79084,0.90016,0.9337,0.87151,0.69516,0.33401,1,1,0.23166,0.23166,0.33267,0.81016,0.45369,0.75933,0.721,0.72353,0.69724,0.51739,0.54181,0.4322,0.56865,0.56865,0.56865,0.40854,0.40854,0.96656,0.78111,0.87838,0.42965,0.87914,0.04276,0.80068,0.9336,0.59009,0.90044,0.75725,0.58981,0.62571,0.63706,0.60991,0.75735,0.79084,0.45923,1,0.78193,0.80049
