run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62
0.06489,0.04688,0.00313,0,0,0,0.0205,0.11634,0.28111,0.06966,0.01222,0.01481,0.02263,0.03492,0.05616,0.05468,0.00676,0,0.08348,0.10427,0.09858,0.1093,0.04833,0.04982,0.0315,0.0299,0.00313,0,0.02877,0.02797,0.08973,0.07776,0.1105,0.09501,0.06388,0.06715,0.00893,0.09164,0.091,0.09153,0.11125,0.11974,0.12191,0.01372,0.05616,0.04134,0.05468,0.03236,0.04746,0.08032,0.08664,0.07422,0.10522,0.07335,0.07205,0.11777,0.06047,0.06515,0.06345,0.06388,0.00893,0.00781
0,0,0,0,0,0,0,0,0,0,0.01492,0.01235,0.0125,0,0,0,0,0,0,0,0,0.00391,0.00446,0,0,0,0,0,0,0,0,0.0125,0.01042,0.02083,0,0.03125,0.00329,0,0,0,0,0,0,0.01601,0,0,0,0.00446,0.00417,0,0,0,0,0,0,0,0.03711,0.03125,0.03125,0,0.00329,0.00329
0.33699,0.34075,0.04568,0.10911,0.10911,0.10911,0.31765,0.27603,0.30207,0.22894,0.0124,0.24074,0.19197,0.33334,0.33343,0.31534,0.10262,0.17144,0.09535,0.13552,0.27092,0.16473,0.32971,0.31355,0.11699,0.26325,0.26555,0.2144,0.21852,0.21851,0.27085,0.30274,0.26479,0.29329,0.25735,0.25735,0.21753,0.2639,0.26369,0.26372,0.3113,0.23793,0.24411,0.02907,0.33343,0.34518,0.31534,0.31527,0.31583,0.21349,0.05611,0.14521,0.0718,0.21913,0.21441,0.2737,0.30274,0.26479,0.29329,0.25735,0.21753,0.23494
0.25734,0.24525,0.12855,0,0,0,0.11279,0.14512,0.17911,0.0376,0.14535,0.26129,0.23591,0.14857,0.19876,0.25867,0.11675,0,0.03604,0.06724,0.06469,0.13101,0,0.1875,0,0.0195,0.00347,0.00391,0.12903,0.13243,0.09477,0.17892,0.11894,0.1314,0.10135,0.07973,0.0125,0.22314,0.29275,0.19236,0.1631,0.08604,0.08134,0.21987,0.19876,0.25668,0.25867,0,0.1875,0.02344,0.00937,0.00987,0.01705,0.21841,0.22574,0.07036,0.17892,0.11894,0.1314,0.10135,0.0125,0.0125
0,0,0,0,0,0,0.00781,0.21683,0.52261,0,0,0.00899,0.02458,0.15814,0.14542,0.2333,0.00368,0,0,0,0,0.01855,0,0.0125,0,0,0.21733,0.00568,0.02295,0.03962,0,0.069,0.10066,0.63286,0.00391,0.00368,0,0.06026,0.01562,0.0125,0.17636,0.22618,0.53216,0,0.14542,0.1366,0.2333,0,0.00417,0,0.00937,0,0,0.02539,0.04102,0,0.069,0.10066,0.63286,0.00391,0,0
0.2412,0.25596,0.21295,0.17435,0.17435,0.17435,0.20003,0.26108,0.23348,0.18293,0.10886,0.23588,0.17972,0.19956,0.24389,0.20029,0.53959,0.16839,0.17603,0.3773,0.22455,0.38029,0.20418,0.21371,0.48394,0.16793,0.17613,0.17183,0.55403,0.57115,0.32441,0.25312,0.24831,0.20765,0.1756,0.1756,0.1872,0.53406,0.55167,0.55561,0.23967,0.27672,0.42917,0.0826,0.24389,0.22246,0.20029,0.20223,0.2059,0.17107,0.55592,0.57608,0.5734,0.36691,0.29811,0.336,0.27706,0.23873,0.2076,0.1756,0.1872,0.19788
0,0,0,0,0,0,0,0,0,0.01442,0,0,0,0,0,0,0.00521,0,0,0,0,0.0125,0,0,0.0125,0,0,0,0,0,0.01562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01339,0,0,0,0,0.00893,0,0,0,0,0,0
0.07132,0.06513,0.2365,0,0,0,0.20341,0.02887,0.00313,0.01657,0,0.00446,0,0.04985,0.04308,0.04808,0.09576,0,0,0,0.11065,0.11926,0.07675,0.09477,0,0.09237,0.15168,0,0.0642,0.07546,0.0972,0.08603,0,0.09808,0.00481,0,0,0,0,0,0.07096,0.03569,0.01593,0,0.04308,0.03451,0.04808,0.08274,0.08952,0,0.01042,0.0625,0.00694,0.07846,0.08862,0.08933,0.05774,0.00391,0.05706,0.00481,0,0
0.14549,0.1394,0.0215,0.09866,0.09866,0.09866,0.15094,0.14696,0.16303,0.1319,0.17241,0.17357,0.17282,0.10798,0.10183,0.05177,0.12707,0.12298,0.12856,0.12933,0.1407,0.16008,0.12553,0.13622,0.15015,0.16416,0.17393,0.12298,0.17337,0.1721,0.16237,0.16103,0.1181,0.13171,0.0699,0.0625,0.06943,0.11039,0.13868,0.14448,0.12938,0.1459,0.14679,0.17613,0.10183,0.10746,0.05177,0.11419,0.12616,0.10356,0.11832,0.01488,0.02535,0.17613,0.17613,0.16211,0.13601,0.11551,0.12374,0.0699,0.06943,0.0625
0,0,0,0.08761,0.08761,0.08761,0,0.07013,0.07013,0.05282,0.00368,0.03418,0,0.08779,0.09072,0.10047,0.00417,0.02079,0,0,0.0245,0,0.08979,0.09858,0,0.01625,0,0.0128,0.02083,0.01042,0.00347,0.00329,0,0.02362,0.03482,0,0.00694,0,0,0,0.07811,0.07013,0.07013,0,0.09072,0.0125,0.10047,0.0902,0.09858,0.085,0,0,0,0.0625,0.03125,0,0.00329,0,0.02362,0.03482,0.00694,0
